Token,Item Name,Customer-facing Name,Variation Name,Unit and Precision,SKU,Description,Categories,Reporting Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Item Type,Weight (lb),Social Media Link Title,Social Media Link Description,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online Sale Price,Archived,Sellable,Contains Alcohol,Stockable,Auto Add Item to Check,Preselect First Variation,Option Name 1,Option Value 1,Default Unit Cost,Default Vendor Name,Default Vendor Code,Current Quantity A Bushel & A Peck Bakery,New Quantity A Bushel & A Peck Bakery,Stock Alert Enabled A Bushel & A Peck Bakery,Stock Alert Count A Bushel & A Peck Bakery,Modifier Set - Add Cold Foam,Modifier Set - Bottles,Modifier Set - Coffee Menu,Modifier Set - Cold brews,Modifier Set - Concentrates-sauces,Modifier Set - Drink Size,Modifier Set - Extra Shots,Modifier Set - Flavor Options,Modifier Set - Hot,Modifier Set - Icing Options,Modifier Set - Lotus Liquid,Modifier Set - Milk Options,Modifier Set - Produce,Modifier Set - Sauces,Modifier Set - Sourdough Artisan Loaf,Modifier Set - Special Instructions,Modifier Set - Stryker Menu,Modifier Set - Syrups
BNJ7A53KUKMAGLS4RIDEVIQX,Bagels BAGS OF 4,,jalapeno cheese,Pack 1,,,Bread,Bread,,,,,visible,Prepared food and beverage,,,,N,N,N,Y,10.00,,N,,N,,N,Y,Bagels flavors,jalapeno cheese,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
YP4NOLPHYEZM55LAJPG2AADU,Bagels BAGS OF 4,,cheese,Pack 1,,,Bread,Bread,,,,,visible,Prepared food and beverage,,,,,,,,10.00,,N,,,,N,,Bagels flavors,cheese,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
JBHUNRAY4RSLGFSZGJXVZF5V,Bagels BAGS OF 4,,plain,Pack 1,,,Bread,Bread,,,,,visible,Prepared food and beverage,,,,,,,,8.00,,N,,,,N,,Bagels flavors,plain,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
HMQWTIYQPTU2R3UBMHW4BJTZ,Bagels BAGS OF 4,,everything,Pack 1,,,Bread,Bread,,,,,visible,Prepared food and beverage,,,,,,,,10.00,,N,,,,N,,Bagels flavors,everything,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
MKAMVJXX3TZAXVXEPSPQPKTK,Bagels BAGS OF 4,,blueberry,Pack 1,,,Bread,Bread,,,,,visible,Prepared food and beverage,,,,,,,,10.00,,N,,,,N,,Bagels flavors,blueberry,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
RPGBZAYTYBSGF5V4TY5ELVUE,Bagels BAGS OF 4,,cranberry orange,Pack 1,,,Bread,Bread,,,,,visible,Prepared food and beverage,,,,,,,,10.00,,N,,,,N,,Bagels flavors,cranberry orange,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
EOLUHQ5DE3PZVOQODGSC7RGZ,Bagels to go,,Single,,,,"Bread, Food, From the case",Food,,,,,hidden,Prepared food and beverage,,,,N,N,N,Y,3.00,3.00,N,,N,,N,Y,Bagels,Single,,,,579,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
YZKXTF54K3SVB2C4NIPHJQAA,Bagels to go,,Bagels & cream cheese,,,,"Bread, Food, From the case",Food,,,,,hidden,Prepared food and beverage,,,,,,,,6.00,6.00,N,,,,N,,Bagels,Bagels & cream cheese,,,,584,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
ECXNFQBQCLR4H4UCQZYQL7YX,Bagels to go,,Cream cheese single,,,,"Bread, Food, From the case",Food,,,,,hidden,Prepared food and beverage,,,,,,,,2.00,2.00,N,,,,N,,Bagels,Cream cheese single,,,,8,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Y73OV74M6NP7D3TLEGPCQGG5,Bagels to go,,Cream cheese x3,,,,"Bread, Food, From the case",Food,,,,,hidden,Prepared food and beverage,,,,,,,,6.00,6.00,N,,,,N,,Bagels,Cream cheese x3,,,,3,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
E6KMJU5FYALNEEHSQJHYF5TS,Blondie bar,,Regular,,,,Seasonal,Seasonal,,,,,visible,Physical good,,,,N,N,N,Y,3.00,,N,,N,,N,Y,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
5BUBADJVPP5FP63MIWNSIL43,Bread Bible PDF,,Regular,,,,,,,,,,hidden,Physical good,,,,N,N,N,Y,15.00,,N,,N,,N,Y,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
ZYCPY7RB34G2JNCROIJXIDUG,Bread bowls,,Regular,2 Loaves 1.000,,,"Bread, Seasonal",Seasonal,,,,,visible,Physical good,,,,N,N,N,Y,7.00,,N,,N,,N,Y,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
5HXJJIUEW5GBJX2H5DAFQBXN,Bread pudding,,Regular,,,,Food,Food,,,,,hidden,Physical good,,,,N,N,N,Y,5.00,,N,,N,,N,Y,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
DYNHXNPBDMWREA375LB4KEIY,Cake slice,,Regular,,,,Food,Food,,,,,hidden,Physical good,,,,N,N,N,Y,5.00,,N,,N,,N,Y,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
4NHQGTT4ETCX7NY2Q7K5DZ63,Cheese braid,,Regular,,,,"Food, From the case",Food,,,,,visible,Physical good,,,,N,N,N,Y,5.00,,N,,N,,N,Y,,,,,,590,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
RLDCEYZOA7HFMMR6GVL2WRBB,Cheesecakes,,Regular,,,,,,,,,,visible,Prepared food and beverage,,,,N,N,N,Y,variable,,N,,N,,Y,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
T62QQFP6BAN7LDWPWJMECYZY,Cinnamon roll,,1 roll,,,,"Food, From the case",Food,,,,,hidden,Physical good,,,,N,N,N,Y,6.00,,N,,N,,N,Y,,,,,,567,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
4UV4GQQHPM7CMJUTGGXGWUQG,Cinnamon roll,,4 rolls,,,,"Food, From the case",Food,,,,,hidden,Physical good,,,,,,,,20.00,,N,,,,N,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
SDEUTOMTADRVTU3K6AV7HXDY,Cinnamon roll,,6 rolls,,,,"Food, From the case",Food,,,,,hidden,Physical good,,,,,,,,30.00,,N,,,,N,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
5KYCZBIBOUKLHC444K5CV2KG,Cinnamon roll,,12 rolls,,,,"Food, From the case",Food,,,,,hidden,Physical good,,,,,,,,60.00,,N,,,,N,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
JCFXEBGIGQPDE3MPF4NVG6QI,Cinnamon rolls,,1,,,"Soft, gooey, with bold cinnamon flavor.",Food,Food,,,,,hidden,Physical good,,,,N,N,N,Y,3.00,,N,,N,,N,Y,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
7UB7T36UQF5ALXBA76TXZYXQ,Cinnamon rolls,,2,,,,Food,Food,,,,,hidden,Physical good,,,,,,,,6.00,,N,,,,N,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
GAC5QFZBH7QDHISVDUXNITTM,Cinnamon rolls,,4,,,,Food,Food,,,,,hidden,Physical good,,,,,,,,10.00,,N,,,,N,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
NIIJRK3HR7VIZXKZEDSN3AAL,Cinnamon rolls,,6,,,,Food,Food,,,,,hidden,Physical good,,,,,,,,18.00,,N,,,,N,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
5JDM626MKSGZ4WV3VC7VNOQ3,Cinnamon rolls,,8,,,,Food,Food,,,,,hidden,Physical good,,,,,,,,24.00,,N,,,,N,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
YAMAAP4MUBPJAQCQ5CIUIFVG,Cinnamon rolls,,12,,,,Food,Food,,,,,hidden,Physical good,,,,,,,,36.00,,N,,,,N,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
QATYSL4GLJPYU3Q3WTT7GKKJ,Coffee cake,,Regular,,,,"Food, From the case",Food,,,,,hidden,Physical good,,,,N,N,N,Y,4.00,,N,,N,,N,Y,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
4CYLRM746VEEYF2DUKNMXWMH,Cold Brew,,Small - 16oz,,,"Cold-brewed coffee with a rich flavor profile, exceptionally smooth texture, and a bold, invigorating aroma.",Drinks,Drinks,,,,,hidden,Prepared food and beverage,,,,N,N,N,Y,6.00,,N,,N,,N,Y,Drink Sizes,Small - 16oz,,,,,,,,Y,N,N,Y,N,N,N,N,N,N,N,Y,N,Y,N,Y,N,Y
BBP6BLGCCEKLGMJOTNOU267X,Cold Brew,,Regular - 20oz,,,,Drinks,Drinks,,,,,hidden,Prepared food and beverage,,,,,,,,7.00,,N,,,,N,,Drink Sizes,Regular - 20oz,,,,,,,,Y,N,N,Y,N,N,N,N,N,N,N,Y,N,Y,N,Y,N,Y
NVRTXSTXV5P3IKVUSHRIFU6P,Cold Brew,,Large - 24oz,,,,Drinks,Drinks,,,,,hidden,Prepared food and beverage,,,,,,,,8.00,,N,,,,N,,Drink Sizes,Large - 24oz,,,,,,,,Y,N,N,Y,N,N,N,N,N,N,N,Y,N,Y,N,Y,N,Y
QCESZTGDPMATFZCICCQDK452,Concentrates,,Regular,,,,Drinks,Drinks,,,,,visible,Prepared food and beverage,,,,N,N,N,Y,2.75,,N,,N,,N,Y,,,,,,-18,,,,N,N,N,N,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,Y
IITGJFHI3KXYTASTZ76KPU7T,Concentrates,,Personal glass,,,,Drinks,Drinks,,,,,visible,Prepared food and beverage,,,,,,,,0.00,,N,,,,N,,,,,,,,,,,N,N,N,N,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,Y
LM7TCK3R3MV2QRWSGNFEEBQ3,Cookie,,Regular,,,,"Food, From the case",Food,,,,,hidden,Physical good,,,,N,N,N,Y,4.00,,N,,N,,N,Y,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
YXUNNGHFBMEDFEJQCZ2YOJZ5,Cupcakes,,Regular,Package 1,,,Food,Food,,,,,hidden,Physical good,,,,N,N,N,Y,18.00,,N,,N,,N,Y,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
RPEFS2IM4LV7S4EZIVSH2HDI,Dehydrated sourdough starter,,Regular,,,"Starters are fed and grown on Non GMO, unbleached, unbromated, organic flour! They are tended to daily, and the mother starter is over a year old, so she is well established 🌾🍞

NOW AVAILABLE- at the coffee shop in Lincoln MO! Mozark Mocha",Retail,Retail,,,,,hidden,Physical good,,,,N,N,N,Y,10.00,,N,,N,,N,Y,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
YC2VQHDCR4NNIWXLD6O5KEZV,Dinner rolls,,Regular,Half Dozen 1,,,Bread,Bread,,,,,visible,Physical good,,,,N,N,N,Y,9.00,,N,,N,,N,Y,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
5QIB7QBRTP4GBTRN2V3ZDM62,Drip Coffee,,Small - 16oz,,,"Our drip coffee features a rich flavor with a bold aroma and a smooth texture, brewed from freshly ground premium coffee beans.",Drinks,Drinks,,,,,visible,Prepared food and beverage,,,,N,N,N,Y,3.00,,N,,N,,N,Y,Drink Sizes,Small - 16oz,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,Y,N,Y
CYKRTML367VAPW4WMYPA2FHC,Drip Coffee,,Regular - 20oz,,,,Drinks,Drinks,,,,,visible,Prepared food and beverage,,,,,,,,4.00,,N,,,,N,,Drink Sizes,Regular - 20oz,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,Y,N,Y
CLQ2COJK5JKKTVMXPCMQ57IB,Drip Coffee - Hot,,Small - 16oz,,,,Drinks,Drinks,,,,,hidden,Prepared food and beverage,,,,N,N,N,Y,3.00,3.00,N,,N,,N,Y,Drink Sizes,Small - 16oz,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y
GDSTQO7IATDBJXU4655VDZFC,Drip Coffee - Hot,,Regular - 20oz,,,,Drinks,Drinks,,,,,hidden,Prepared food and beverage,,,,,,,,4.00,4.00,N,,,,N,,Drink Sizes,Regular - 20oz,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y
TRUUFC3AWA2A22MHUA7HL5JF,Fancy granola,,Honey n oats,,,,Retail,Retail,,,,,unavailable,Prepared food and beverage,,,,,,,Y,5.00,,Y,,N,,N,Y,Granola flavors,Honey n oats,,,,0,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
747CBBKXQSV6M46SM6FYI4EH,Fancy granola,,Chocolate espresso,,,,Retail,Retail,,,,,unavailable,Prepared food and beverage,,,,,,,,5.00,,Y,,,,N,,Granola flavors,Chocolate espresso,,,,0,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
L2MCUM4RZ2KVLKTT6RTV7UM5,Fancy granola,,S’mores,,,,Retail,Retail,,,,,unavailable,Prepared food and beverage,,,,,,,,0.05,,Y,,,,N,,Granola flavors,S’mores,,,,0,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
KTOLYKLFORFDKOOLPGEWNCNB,Fudge brownie,,2,,,"Soft, chewy, deep chocolate flavor, and perfectly paired with a glass of cold milk.",Karlie,Karlie,,,,,unavailable,Physical good,,,,N,N,N,Y,6.00,,Y,,N,,N,Y,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
WPQROGFYX24ABURJOGFOMISM,Fudge brownie,,4,,,,Karlie,Karlie,,,,,unavailable,Physical good,,,,,,,,12.00,,Y,,,,N,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
CWB3CLQV25YEQUPT62CGG2KL,Fudge brownie,,6,,,,Karlie,Karlie,,,,,unavailable,Physical good,,,,,,,,18.00,,Y,,,,N,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2KOMPKCNZFPGFUJBCHDXWR7D,Garlic knots,,Regular,,,,Bread,Bread,,,,,visible,Prepared food and beverage,,,,N,N,N,Y,8.00,,N,,N,,N,Y,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
LZGHELICHTIKARAJ2QYN3AQO,Gourmet jumbo muffins,,Lemon Raspberry,,,,"Food, From the case",Food,,,,,hidden,Physical good,,,,N,N,N,Y,4.00,,N,,N,,N,Y,,,,,,8,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
C3Z75HGAQXD2NOTC3HANBXYF,Gourmet jumbo muffins,,Lemon Poppyseed,,,,"Food, From the case",Food,,,,,hidden,Physical good,,,,,,,,4.00,,N,,,,N,,,,,,,25,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
RRUDI7Q7672WXUWIAZED6DQW,Gourmet jumbo muffins,,Cinnamon Streusel,,,,"Food, From the case",Food,,,,,hidden,Physical good,,,,,,,,4.00,,N,,,,N,,,,,,,27,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
FUQFH5HY3MCT7FVVX3JI43ME,Gourmet jumbo muffins,,Blueberry,,,,"Food, From the case",Food,,,,,hidden,Physical good,,,,,,,,4.00,,N,,,,N,,,,,,,79,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
PV2EXPVXU4ZQ73N36ROEPYGS,Gourmet jumbo muffins,,Banana Nut Muffin,,,,"Food, From the case",Food,,,,,hidden,Physical good,,,,,,,,4.00,,N,,,,N,,,,,,,19,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Q4P2XJC3B54OKKZ34VVLBCNG,Gourmet jumbo muffins,,Double Chocolate Chip,,,,"Food, From the case",Food,,,,,hidden,Physical good,,,,,,,,4.00,,N,,,,N,,,,,,,24,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
MCAI72ORUB2VUVCC2LUBO7VM,Gourmet jumbo muffins,,Cinnamon sugar peach,,,,"Food, From the case",Food,,,,,hidden,Physical good,,,,,,,,3.50,,N,,,,N,,,,,,,29,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
GJUKYA6ZDNIOXBNESVPWHBBI,Gourmet jumbo muffins,,Pumpkin strusel,,,,"Food, From the case",Food,,,,,hidden,Physical good,,,,,,,,4.00,,N,,,,N,,,,,,,32,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
T6DBJT7D2X4MKKQ2LIYDKW2X,Hot Apple Cider,,Small - 16oz,,,,Drinks,Drinks,,,,,hidden,Prepared food and beverage,,,,N,N,N,Y,4.00,,N,,N,,N,Y,Drink Sizes,Small - 16oz,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
ZQ3UHUFODUZYPMBP73XFXP3R,Hot Apple Cider,,Regular - 20oz,,,,Drinks,Drinks,,,,,hidden,Prepared food and beverage,,,,,,,,5.00,,N,,,,N,,Drink Sizes,Regular - 20oz,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2C4CURV4QFEE7QQURMQ6HGQQ,Hot Chocolate,,16 Oz,,,Made with steamed milk and Ghirardelli chocolate or white chocolate,Drinks,Drinks,,,,,hidden,Prepared food and beverage,,,,N,N,N,Y,5.00,,N,,N,,N,Y,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y
ZH4UH2I3HGFSOHNR72GQPYBQ,Hot Chocolate,,20 Oz,,,,Drinks,Drinks,,,,,hidden,Prepared food and beverage,,,,,,,,6.00,,N,,,,N,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y
MNOTV6VGZ6UTDXGYKZBENQ3Q,Hot Latte,,Small - 16oz,,,"A robust blend of freshly ground coffee beans, delivering a bold flavor and aromatic scent, finished with a smooth texture.",Drinks,Drinks,,,,,visible,Prepared food and beverage,,,,N,N,N,Y,6.50,,N,,N,,N,Y,Drink Sizes,Small - 16oz,,,,758,,Y,200,N,N,Y,N,N,N,Y,N,N,N,N,Y,N,Y,N,Y,N,Y
STC2JCBA2XV2TOPJVSM2J5V7,Hot Latte,,Regular - 20oz,,,,Drinks,Drinks,,,,,visible,Prepared food and beverage,,,,,,,,7.50,,N,,,,N,,Drink Sizes,Regular - 20oz,,,,369,,Y,200,N,N,Y,N,N,N,Y,N,N,N,N,Y,N,Y,N,Y,N,Y
3NUXPZK5SRIRSHUYYGA3XE3H,Iced Latte,,Small - 16oz,,,"Chilled, robust coffee, expertly brewed and served over ice, complemented by a splash of creamy milk for a refreshing finish.",Drinks,Drinks,,,,,visible,Prepared food and beverage,,,,N,N,N,Y,6.50,,N,,N,,N,Y,Drink Sizes,Small - 16oz,,,,249,,Y,200,Y,N,Y,N,N,N,Y,N,N,N,N,Y,N,Y,N,Y,N,Y
JFIRNPYJNV3DP7KFNIGKCRB2,Iced Latte,,Regular - 20oz,,,,Drinks,Drinks,,,,,visible,Prepared food and beverage,,,,,,,,7.50,,N,,,,N,,Drink Sizes,Regular - 20oz,,,,616,,Y,200,Y,N,Y,N,N,N,Y,N,N,N,N,Y,N,Y,N,Y,N,Y
VHODPCTBYH3QWDTUMME2NSGJ,Iced Latte,,Large - 24oz,,,,Drinks,Drinks,,,,,visible,Prepared food and beverage,,,,,,,,8.50,,N,,,,N,,Drink Sizes,Large - 24oz,78.49,,,369,,Y,200,Y,N,Y,N,N,N,Y,N,N,N,N,Y,N,Y,N,Y,N,Y
YTC6O3NUCTT3M53B3HJ6HI7I,Iced tea & lemonade,,Small - 16oz,,,,Drinks,Drinks,,,,,hidden,Physical good,,,,N,N,N,Y,4.75,,N,,N,,N,Y,Drink Sizes,Small - 16oz,,,,895,,,,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y
OM3FYHOL2OPEBFIZUC2Z4G6N,Iced tea & lemonade,,Regular - 20oz,,,,Drinks,Drinks,,,,,hidden,Physical good,,,,,,,,5.75,,N,,,,N,,Drink Sizes,Regular - 20oz,,,,669,,,,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y
